preds	count	median	std
['NA', 'IP', 'NE', 'DTP']	1	176.0	
['NA', 'IP', 'NE', 'NB']	124	195.0	272.75288518282866
['NA', 'IP', 'NE']	4733	231.0	669.4536148668786
['NA', 'IP', 'RE']	1	266.0	
['NA', 'IP', 'RV', 'DS']	5	226.0	125.43245194127395
['NA', 'IP', 'RV']	14	367.5	578.9706715037804
['NA', 'IP', 'SR', 'DS']	16	384.5	1796.560820939089
['NA', 'IP', 'SR', 'NB']	8	327.5	239.63648064754844
['NA', 'IP', 'SR']	69	249.0	302.05263962006563
['NA', 'IP']	7233	246.0	1402.523454355237
['NA', 'IT', 'DTP']	1	177.0	
['NA', 'IT', 'NB']	2	743.5	798.3235559596121
['NA', 'IT']	5	585.0	169.2134746407626
['NA', 'NB', 'AV']	79	374.0	899.3362821871987
['NA', 'NB', 'DTP']	11	379.0	737.2198882534055
['NA', 'NB', 'OB']	25	421.0	451.6032071040536
['NA', 'NB', 'RE']	51	369.0	465.62727920221215
['NA', 'NB', 'RS']	1	237.0	
['NA', 'NB', 'RV']	48	308.0	1441.2718340260235
['NA', 'NB']	222808	271.0	1343.5467195572146
['NA', 'NE', 'DTP']	13	208.0	72.94114241229195
['NA', 'NE', 'NB']	1132	194.5	1146.3332427067407
['NA', 'NE', 'RV']	1	227.0	
['NA', 'NE', 'SR']	640	209.5	352.8776584046575
['NA', 'NE']	95318	257.0	740.0715863306722
['NA', 'OB']	13	639.0	546.1353030438237
['NA', 'OP', 'AV']	317	467.0	951.9177601631161
['NA', 'OP', 'IP', 'AV', 'DS']	1	1143.0	
['NA', 'OP', 'IP', 'AV']	28	358.5	180.4209950358756
['NA', 'OP', 'IP', 'DS']	13	474.0	165.9043592262012
['NA', 'OP', 'IP', 'NB', 'AV', 'DS']	3	266.0	23.50177298276309
['NA', 'OP', 'IP', 'NB', 'AV']	38	359.0	565.9595510027779
['NA', 'OP', 'IP', 'NB', 'DS']	47	326.0	1904.9076316468424
['NA', 'OP', 'IP', 'NB', 'OB']	1	594.0	
['NA', 'OP', 'IP', 'NB', 'RS']	2	313.0	123.03657992645927
['NA', 'OP', 'IP', 'NB', 'RV', 'DS']	98	322.0	525.1023344103489
['NA', 'OP', 'IP', 'NB', 'RV']	137	340.0	563.1588778910718
['NA', 'OP', 'IP', 'NB']	91	343.0	521.4563423450875
